Years,Oceanic Index,El Nino or La Nina Year,Magnitude
1990,0.375,El Nino,Neutral
1991,1.1083333333333334,El Nino,Moderate
1992,0.22499999999999998,El Nino,Neutral
1993,0.20833333333333334,El Nino,Neutral
1994,0.5666666666666667,El Nino,Weak
1995,-0.65,La Nina,Weak
1996,-0.08333333333333333,La Nina,Neutral
1997,1.6333333333333335,El Nino,Strong
1998,-1.2166666666666666,La Nina,Moderate
1999,-1.1833333333333333,La Nina,Moderate
2000,-0.49166666666666664,La Nina,Neutral
2001,0.0,La Nina,Neutral
2002,0.6416666666666667,El Nino,Weak
2003,0.27499999999999997,El Nino,Neutral
2004,0.525,El Nino,Weak
2005,-0.35833333333333334,La Nina,Neutral
2006,0.2916666666666667,El Nino,Neutral
2007,-1.1083333333333334,La Nina,Moderate
2008,-0.3666666666666667,La Nina,Neutral
2009,0.75,El Nino,Weak
2010,-1.1500000000000001,La Nina,Moderate
2011,-0.6416666666666667,La Nina,Weak
2012,-0.06666666666666667,La Nina,Neutral
2013,-0.18333333333333335,La Nina,Neutral
2014,0.5666666666666667,El Nino,Weak
2015,1.7333333333333334,El Nino,Strong
2016,-0.2333333333333333,La Nina,Neutral
2017,-0.4666666666666666,La Nina,Neutral
